Location Name,Latitude,Longitude
west,32.77599,62.730471
zehray dasht,33.8865,66.841857
samangan,36,67.666667
nuristan,34.95,70.4
logar,34,69.25
kandahar,31.613323,65.710126
faryab,36.25,64.83333
baghalan,34.114812,68.495707
day kundi,35.949151,67.560385
molangue,4.033333,16.15
vakaga,9.833333,22.5
kbandoro,5.216667,26.75
mongoumba,3.641532,18.593636
mambere kadei,4.5,16
sangha mbaere,3.5,16.166667
unknown,NA,NA
wardak,34.25,68
parwan,35,68.91667
nimroz,31,62.5
laghman,34.783333,70.183333
jowzjan,36.83333,65.83333
farah,32.5,62.5
badghis,35,63.75
uruzgan,32.83333,66
mboki,5.247621,25.981734
ouham,6.75,16.083333
haute kotto,7.416667,23
haut mbomou,6.333333,25.666667
mbomou,5.5,23.333333
lobaye,4.166667,17.666667
north,35.572675,65.84638
panjwayi,34.223273,63.635944
nangarhar,34.33333,70.41667
kunduz,36.75,68.75
hirat,30.894754,64.134066
bamyan,34.75,67.25
badakhshan,36.75,72
panjshir,35.38333,69.75
kbando,5.216667,26.75
ouham pende,6.75,16.083333
bamingui bangorann,8.416667,20.666667
bambari,4.211361,17.583433
kemo,5.866667,19.2
kabul,34.5,69.416667
takhar,36.66667,69.75
panjsher,34.642583,69.655222
mukhtar,35.86162,66.80961
kunar,34.95,71.133333
hilmand,31,64
balkh,36.75,67
daykundi,33.75,66.25
paktia,33.666667,69.33333
boubou,5.716667,20.05
nana mambere,5.666667,15.416667
zemio,5.031437,25.136142
ombella mpoko,5.083333,18
batalimo,5.248598,16.976001
herat,34.5,62
sar e pul,35.833333,66.166667
paktya,33.666667,69.33333
maslakh,32.520707,64.253798
khost,33.383334,69.883334
ghor,34,65
baghlan,35.75,69
nimruz,31,62.5
bangui,4.383333,18.566667
nana grebizi,7.083333,19.333333
obo,6.333333,25.666667
ouaka,6.25,20.75
basse kotto,5,21.366667
central,34.143865,66.197942
bamingui bangoran,8.416667,20.666667
ghazni,33.33333,67.75
paktika,32.416667,68.75
kapisa,35,69.58333
maiwand,31.58363,64.993325
helmand,31,64
baghi shirkat,NA,NA
sam ouandja,NA,NA
