Year,Country,Location Name,F: Total,M: Total,Overall total,,,,,,,,,,,,,,,
2001,Afghanistan,West,0,0,300000,,,,,,,,,,,,,,,
2001,Afghanistan,Various,590904,625720,2989904,,,,,,,,,,,,,,,
2001,Afghanistan,North,0,0,300000,,,,,,,,,,,,,,,
2001,Afghanistan,Kabul,2,2,4,,,,,,,,,,,,,,,
2001,Afghanistan,Herat,1,1,2,,,,,,,,,,,,,,,
2001,Afghanistan,Central,0,0,380000,,,,,,,,,,,,,,,
2002,Afghanistan,Various,1956247,2314237,7172687,,,,,,,,,,,,,,,
2003,Afghanistan,Various,979612,1290653,5197257,,,,,,,,,,,,,,,
2004,Afghanistan,Various,2858003,3186537,7557186,,,,,,,,,,,,,,,
2005,Afghanistan,Zehray Dasht,0,0,44869,,,,,,,,,,,,,,,
2005,Afghanistan,Zabul,900,925,1831,,,,,,,,,,,,,,,
2005,Afghanistan,Wardak,1259,1464,2755,,,,,,,,,,,,,,,
2005,Afghanistan,Various,2858342,3055805,7508891,,,,,,,,,,,,,,,
2005,Afghanistan,Uruzgan,1675,1831,3506,,,,,,,,,,,,,,,
2005,Afghanistan,Takhar,2343,2812,5652,,,,,,,,,,,,,,,
2005,Afghanistan,Saripul,0,0,100,,,,,,,,,,,,,,,
2005,Afghanistan,Sari Pul,1744,1969,3944,,,,,,,,,,,,,,,
2005,Afghanistan,Samangan,1110,1163,2289,,,,,,,,,,,,,,,
2005,Afghanistan,Parwan,3436,4102,7644,,,,,,,,,,,,,,,
2005,Afghanistan,Panjwayi,0,0,42993,,,,,,,,,,,,,,,
2005,Afghanistan,Panjsher,67,103,170,,,,,,,,,,,,,,,
2005,Afghanistan,Paktya,21745,21475,43570,,,,,,,,,,,,,,,
2005,Afghanistan,Paktika,1408,1502,2910,,,,,,,,,,,,,,,
2005,Afghanistan,Nuristan,17,19,36,,,,,,,,,,,,,,,
2005,Afghanistan,Nimroz,2019,2042,4061,,,,,,,,,,,,,,,
2005,Afghanistan,Nangarhar,31409,31243,62652,,,,,,,,,,,,,,,
2005,Afghanistan,Mukhtar,0,0,23800,,,,,,,,,,,,,,,
2005,Afghanistan,Maslakh,0,0,6719,,,,,,,,,,,,,,,
2005,Afghanistan,Maiwand,0,0,6428,,,,,,,,,,,,,,,
2005,Afghanistan,Logar,10186,9972,21058,,,,,,,,,,,,,,,
2005,Afghanistan,Laghman,3966,4006,7972,,,,,,,,,,,,,,,
2005,Afghanistan,Kunduz,16264,16669,33127,,,,,,,,,,,,,,,
2005,Afghanistan,Kunar,9750,9845,19595,,,,,,,,,,,,,,,
2005,Afghanistan,Khost,29608,29195,58803,,,,,,,,,,,,,,,
2005,Afghanistan,Kapisa,966,1403,2384,,,,,,,,,,,,,,,
2005,Afghanistan,Kandahar,6716,6655,13379,,,,,,,,,,,,,,,
2005,Afghanistan,Kabul,39965,39957,84068,,,,,,,,,,,,,,,
2005,Afghanistan,Jawzjan,8585,8409,17867,,,,,,,,,,,,,,,
2005,Afghanistan,Hirat,7887,8950,18180,,,,,,,,,,,,,,,
2005,Afghanistan,Hilmand,4212,4286,8817,,,,,,,,,,,,,,,
2005,Afghanistan,Herat,0,0,3817,,,,,,,,,,,,,,,
2005,Afghanistan,Ghor,118,349,467,,,,,,,,,,,,,,,
2005,Afghanistan,Ghazni,20441,21602,42129,,,,,,,,,,,,,,,
2005,Afghanistan,Faryab,2462,3304,7844,,,,,,,,,,,,,,,
2005,Afghanistan,Farah,5372,5381,11508,,,,,,,,,,,,,,,
2005,Afghanistan,Bamyan,637,800,1437,,,,,,,,,,,,,,,
2005,Afghanistan,Balkh,5031,5337,11928,,,,,,,,,,,,,,,
2005,Afghanistan,Baghlan,11424,11641,23671,,,,,,,,,,,,,,,
2005,Afghanistan,Baghi Shirkat,0,0,855,,,,,,,,,,,,,,,
2005,Afghanistan,Baghalan,0,0,29,,,,,,,,,,,,,,,
2005,Afghanistan,Badghis,381,602,5585,,,,,,,,,,,,,,,
2005,Afghanistan,Badakhshan,283,550,833,,,,,,,,,,,,,,,
2006,Afghanistan,Zehray Dasht,18939,19712,38650,,,,,,,,,,,,,,,
2006,Afghanistan,Wardak,850,899,1261,,,,,,,,,,,,,,,
2006,Afghanistan,Uruzgan,79,101,128,,,,,,,,,,,,,,,
2006,Afghanistan,Saripul ,218,227,445,,,,,,,,,,,,,,,
2006,Afghanistan,Sari Pul,571,654,902,,,,,,,,,,,,,,,
2006,Afghanistan,Panjwayi,21051,21910,42961,,,,,,,,,,,,,,,
2006,Afghanistan,Panjsher,14,21,24,,,,,,,,,,,,,,,
2006,Afghanistan,Paktya,6211,5960,8684,,,,,,,,,,,,,,,
2006,Afghanistan,Nuristan,139,129,187,,,,,,,,,,,,,,,
2006,Afghanistan,Nangarhar,15645,15912,22578,,,,,,,,,,,,,,,
2006,Afghanistan,Mukhtar,11564,12036,23600,,,,,,,,,,,,,,,
2006,Afghanistan,Maiwand,3150,3278,6428,,,,,,,,,,,,,,,
2006,Afghanistan,Logar,7825,7693,11124,,,,,,,,,,,,,,,
2006,Afghanistan,Laghman,2296,2512,3468,,,,,,,,,,,,,,,
2006,Afghanistan,Kunar,1831,1984,2708,,,,,,,,,,,,,,,
2006,Afghanistan,Khost,2443,2611,3603,,,,,,,,,,,,,,,
2006,Afghanistan,Kapisa,279,349,470,,,,,,,,,,,,,,,
2006,Afghanistan,Hirat,1088,1330,1842,,,,,,,,,,,,,,,
2006,Afghanistan,Herat ,4698,4890,9588,,,,,,,,,,,,,,,
2006,Afghanistan,Ghazni,4752,4767,7113,,,,,,,,,,,,,,,
2006,Afghanistan,DayKundi,85,111,159,,,,,,,,,,,,,,,
2006,Afghanistan,Bamyan,179,185,274,,,,,,,,,,,,,,,
2006,Afghanistan,Baghi Shirkat,419,436,855,,,,,,,,,,,,,,,
2006,Afghanistan,Badakhshan,68,118,150,,,,,,,,,,,,,,,
2006,Afghanistan,Zabul,856,909,1479,,,,,,,,,,,,,,,
2006,Afghanistan,Various,2526037,3019039,13836686,,,,,,,,,,,,,,,
2006,Afghanistan,Takhar,1699,1829,2798,,,,,,,,,,,,,,,
2006,Afghanistan,Samangan,360,357,542,,,,,,,,,,,,,,,
2006,Afghanistan,Parwan,1421,1601,2237,,,,,,,,,,,,,,,
2006,Afghanistan,Paktika,687,716,1096,,,,,,,,,,,,,,,
2006,Afghanistan,Nimroz,80,110,140,,,,,,,,,,,,,,,
2006,Afghanistan,Kunduz,11519,11331,16395,,,,,,,,,,,,,,,
2006,Afghanistan,Kandahar,1879,1990,2998,,,,,,,,,,,,,,,
2006,Afghanistan,Kabul,22983,23150,34517,,,,,,,,,,,,,,,
2006,Afghanistan,Jawzjan,2880,3015,4718,,,,,,,,,,,,,,,
2006,Afghanistan,Hilmand,1114,1099,1699,,,,,,,,,,,,,,,
2006,Afghanistan,Ghor,91,99,178,,,,,,,,,,,,,,,
2006,Afghanistan,Faryab,1572,1740,2880,,,,,,,,,,,,,,,
2006,Afghanistan,Farah,539,601,1024,,,,,,,,,,,,,,,
2006,Afghanistan,Balkh,2770,2784,4546,,,,,,,,,,,,,,,
2006,Afghanistan,Baghlan,4714,4912,7113,,,,,,,,,,,,,,,
2006,Afghanistan,Badghis,1876,1954,3765,,,,,,,,,,,,,,,
2007,Afghanistan,Zabul,1028,1077,1512,,,,,,,,,,,,,,,
2007,Afghanistan,Wardak,1291,1356,1880,,,,,,,,,,,,,,,
2007,Afghanistan,Various,3231206,3560040,9861151,,,,,,,,,,,,,,,
2007,Afghanistan,Uruzgan,411,418,606,,,,,,,,,,,,,,,
2007,Afghanistan,Takhar,1570,2006,2740,,,,,,,,,,,,,,,
2007,Afghanistan,Saripul ,49,51,100,,,,,,,,,,,,,,,
2007,Afghanistan,Sari Pul,1018,1177,1581,,,,,,,,,,,,,,,
2007,Afghanistan,Samangan,445,396,604,,,,,,,,,,,,,,,
2007,Afghanistan,Parwan,2176,2477,3363,,,,,,,,,,,,,,,
2007,Afghanistan,Panjsher,82,133,155,,,,,,,,,,,,,,,
2007,Afghanistan,Paktya,2981,2930,4115,,,,,,,,,,,,,,,
2007,Afghanistan,Paktika,831,981,1280,,,,,,,,,,,,,,,
2007,Afghanistan,Nuristan,38,50,66,,,,,,,,,,,,,,,
2007,Afghanistan,Nimroz,31,38,47,,,,,,,,,,,,,,,
2007,Afghanistan,Nangarhar,142401,147238,205295,,,,,,,,,,,,,,,
2007,Afghanistan,Logar,5372,5289,7461,,,,,,,,,,,,,,,
2007,Afghanistan,Laghman,14900,15901,21614,,,,,,,,,,,,,,,
2007,Afghanistan,Kunduz,9485,10040,14411,,,,,,,,,,,,,,,
2007,Afghanistan,Kunar,6554,7049,9586,,,,,,,,,,,,,,,
2007,Afghanistan,Khost,657,754,987,,,,,,,,,,,,,,,
2007,Afghanistan,Kapisa,1402,1495,2532,,,,,,,,,,,,,,,
2007,Afghanistan,Kandahar,60252,63912,117831,,,,,,,,,,,,,,,
2007,Afghanistan,Kabul,20436,21963,30670,,,,,,,,,,,,,,,
2007,Afghanistan,Jawzjan,6253,6764,9774,,,,,,,,,,,,,,,
2007,Afghanistan,Hirat,9984,10601,20010,,,,,,,,,,,,,,,
2007,Afghanistan,Hilmand,13718,15317,27441,,,,,,,,,,,,,,,
2007,Afghanistan,Ghor,121,165,248,,,,,,,,,,,,,,,
2007,Afghanistan,Ghazni,8537,9674,13411,,,,,,,,,,,,,,,
2007,Afghanistan,Faryab,2168,2441,3660,,,,,,,,,,,,,,,
2007,Afghanistan,Farah,937,943,1729,,,,,,,,,,,,,,,
2007,Afghanistan,DayKundi,79,105,140,,,,,,,,,,,,,,,
2007,Afghanistan,Bamyan,2414,2564,4818,,,,,,,,,,,,,,,
2007,Afghanistan,Balkh,3127,3376,5075,,,,,,,,,,,,,,,
2007,Afghanistan,Baghlan,3484,3631,5185,,,,,,,,,,,,,,,
2007,Afghanistan,Badghis,2312,2420,4588,,,,,,,,,,,,,,,
2007,Afghanistan,Badakhshan,254,580,639,,,,,,,,,,,,,,,
2008,Afghanistan,Zabul,443,498,677,,,,,,,,,,,,,,,
2008,Afghanistan,Wardak,1133,1147,1645,,,,,,,,,,,,,,,
2008,Afghanistan,Various,3658534,3885908,9004668,,,,,,,,,,,,,,,
2008,Afghanistan,Uruzgan,68,62,90,,,,,,,,,,,,,,,
2008,Afghanistan,Takhar,2976,3245,4604,,,,,,,,,,,,,,,
2008,Afghanistan,Sari Pul,677,708,999,,,,,,,,,,,,,,,
2008,Afghanistan,Sare Pul ,86,89,174,,,,,,,,,,,,,,,
2008,Afghanistan,Samangan,1099,1176,1709,,,,,,,,,,,,,,,
2008,Afghanistan,Parwan,1140,1259,1736,,,,,,,,,,,,,,,
2008,Afghanistan,Panjsher,56,50,76,,,,,,,,,,,,,,,
2008,Afghanistan,Paktya,6337,6562,9238,,,,,,,,,,,,,,,
2008,Afghanistan,Paktika,824,880,1645,,,,,,,,,,,,,,,
2008,Afghanistan,Nuristan,67,69,99,,,,,,,,,,,,,,,
2008,Afghanistan,Nimroz,48,42,65,,,,,,,,,,,,,,,
2008,Afghanistan,Nangarhar,99377,105661,154790,,,,,,,,,,,,,,,
2008,Afghanistan,Logar,6882,7010,9661,,,,,,,,,,,,,,,
2008,Afghanistan,Laghman,18438,19142,27672,,,,,,,,,,,,,,,
2008,Afghanistan,Kunduz,12962,14094,19332,,,,,,,,,,,,,,,
2008,Afghanistan,Kunar,27966,29630,43575,,,,,,,,,,,,,,,
2008,Afghanistan,Khost,7145,7558,14015,,,,,,,,,,,,,,,
2008,Afghanistan,Kapisa,424,431,600,,,,,,,,,,,,,,,
2008,Afghanistan,Kandahar,50055,52597,100104,,,,,,,,,,,,,,,
2008,Afghanistan,Kabul,25683,26814,38740,,,,,,,,,,,,,,,
2008,Afghanistan,Jawzjan,2401,2510,3862,,,,,,,,,,,,,,,
2008,Afghanistan,Hirat,15918,16970,32667,,,,,,,,,,,,,,,
2008,Afghanistan,Hilmand,12591,13229,25119,,,,,,,,,,,,,,,
2008,Afghanistan,Ghor,101,121,201,,,,,,,,,,,,,,,
2008,Afghanistan,Ghazni,1633,1669,2960,,,,,,,,,,,,,,,
2008,Afghanistan,Faryab,1856,2109,3134,,,,,,,,,,,,,,,
2008,Afghanistan,Farah,683,690,1345,,,,,,,,,,,,,,,
2008,Afghanistan,Daykundi,32,46,65,,,,,,,,,,,,,,,
2008,Afghanistan,Bamyan,150,237,280,,,,,,,,,,,,,,,
2008,Afghanistan,Balkh,2875,3115,4461,,,,,,,,,,,,,,,
2008,Afghanistan,Baghlan,3403,3774,5174,,,,,,,,,,,,,,,
2008,Afghanistan,Badghis,2054,2074,4062,,,,,,,,,,,,,,,
2008,Afghanistan,Badakhshan,93,455,450,,,,,,,,,,,,,,,
2009,Afghanistan,Zabul,205,264,328,,,,,,,,,,,,,,,
2009,Afghanistan,Wardak,434,412,617,,,,,,,,,,,,,,,
2009,Afghanistan,Uruzgan,14,22,25,,,,,,,,,,,,,,,
2009,Afghanistan,Takhar,917,983,1376,,,,,,,,,,,,,,,
2009,Afghanistan,Sari Pul,1819,2084,2798,,,,,,,,,,,,,,,
2009,Afghanistan,Samangan,507,509,738,,,,,,,,,,,,,,,
2009,Afghanistan,Parwan,798,837,1158,,,,,,,,,,,,,,,
2009,Afghanistan,Panjsher,123,126,179,,,,,,,,,,,,,,,
2009,Afghanistan,Paktya,919,825,1191,,,,,,,,,,,,,,,
2009,Afghanistan,Paktika,1067,1118,1562,,,,,,,,,,,,,,,
2009,Afghanistan,Nuristan,1240,1303,1820,,,,,,,,,,,,,,,
2009,Afghanistan,Nimroz,29,47,53,,,,,,,,,,,,,,,
2009,Afghanistan,Nangarhar,48444,50993,70901,,,,,,,,,,,,,,,
2009,Afghanistan,Logar,557,553,756,,,,,,,,,,,,,,,
2009,Afghanistan,Laghman,4951,5235,7236,,,,,,,,,,,,,,,
2009,Afghanistan,Kunduz,4290,4283,6148,,,,,,,,,,,,,,,
2009,Afghanistan,Kunar,9266,9761,13541,,,,,,,,,,,,,,,
2009,Afghanistan,Khost,18569,19600,27293,,,,,,,,,,,,,,,
2009,Afghanistan,Kapisa,363,394,544,,,,,,,,,,,,,,,
2009,Afghanistan,Kandahar,31840,34019,47058,,,,,,,,,,,,,,,
2009,Afghanistan,Kabul,9271,9622,13470,,,,,,,,,,,,,,,
2009,Afghanistan,Jawzjan,3724,3796,5559,,,,,,,,,,,,,,,
2009,Afghanistan,Hirat,34029,36525,50622,,,,,,,,,,,,,,,
2009,Afghanistan,Hilmand,36334,38644,53590,,,,,,,,,,,,,,,
2009,Afghanistan,Ghor,2304,2463,3411,,,,,,,,,,,,,,,
2009,Afghanistan,Ghazni,2707,2859,3972,,,,,,,,,,,,,,,
2009,Afghanistan,Faryab,5280,5557,7816,,,,,,,,,,,,,,,
2009,Afghanistan,Farah,51,65,85,,,,,,,,,,,,,,,
